Date,Open,High,Low,Close,Adj Close,Volume
8/14/2023,11.1,11.76,9.11,10.45,10.45,482300
8/15/2023,22,38.778,16,37.060001,37.060001,6891900
8/16/2023,26.5,30.549999,24.163,29.02,29.02,3108600
8/17/2023,27.860001,29.360001,19.879999,20,20,1831500
8/18/2023,19.639999,19.677,11.61,15.4,15.4,2971300
8/21/2023,16.780001,18.889999,16,17.58,17.58,2126500
8/22/2023,19,46.98,18.799999,36.720001,36.720001,19413700
8/23/2023,30.17,45,29.82,37.029999,37.029999,8267500
8/24/2023,38.700001,57.799999,37.369999,49,49,12923500
8/25/2023,55.200001,73.900002,55.029999,68.769997,68.769997,15278100
8/28/2023,84,93,75.919998,82.349998,82.349998,12782400
8/29/2023,74.519997,76.93,46,46.25,46.25,10794700
8/30/2023,53.400002,57.5,37.5,41.27,41.27,10804800
8/31/2023,44.299999,44.400002,33.560001,34.709999,34.709999,6503500
9/1/2023,32.52,34.34,26.261999,29.495001,29.495001,7362900
9/5/2023,26.610001,30.620001,26.02,26.129999,26.129999,6312400
9/6/2023,26.700001,27.200001,24.469999,24.5,24.5,5605300
9/7/2023,22,23.002001,17.6,17.99,17.99,9917400
9/8/2023,19.48,19.49,16.33,17.15,17.15,8534000
9/11/2023,16,17.049999,15.33,16.57,16.57,7693900
9/12/2023,16.49,18.33,15.45,17.209999,17.209999,7676600
9/13/2023,17.200001,17.48,16.43,17.209999,17.209999,3039300
9/14/2023,16.99,17.24,16.525999,16.85,16.85,2112700
9/15/2023,16.5,17.879999,16.5,17.530001,17.530001,3808300
9/18/2023,17.129999,18.450001,16.889999,17.32,17.32,2864000
9/19/2023,17.139999,18.1,17.030001,17.799999,17.799999,2472400
9/20/2023,17.65,17.84,17.190001,17.190001,17.190001,1384200
9/21/2023,16.889999,17.153,15.164,15.75,15.75,3275300
9/22/2023,16.379999,16.4,15.01,15.63,15.63,2243800
9/25/2023,15.05,15.21,13.62,14,14,2352600
9/26/2023,13.9,13.98,12.8,12.88,12.88,2275500
9/27/2023,12.61,12.74,11.08,11.22,11.22,3063000
9/28/2023,11.11,12.89,10.64,12.56,12.56,5061100
9/29/2023,12.21,13.61,12,12.5,12.5,4652600
10/2/2023,11.11,11.794,9.72,9.8,9.8,6851900
10/3/2023,9.04,9.64,9,9.33,9.33,3263800
10/4/2023,9.37,9.37,7.98,8.05,8.05,5687600
10/5/2023,8.9,9.3,8.06,8.5,8.5,8881800
10/6/2023,8.08,8.28,7.65,8.03,8.03,3498600
10/9/2023,7.96,7.97,7.23,7.23,7.23,3682300
10/10/2023,7.28,7.61,7.01,7.49,7.49,3872600
10/11/2023,7.67,8.23,7.48,8.12,8.12,4343900
10/12/2023,8.02,8.04,7.62,7.98,7.98,3222800
10/13/2023,7.84,8.44,7.78,7.98,7.98,4139800
10/16/2023,7.98,8.08,6.3,6.53,6.53,9597400
10/17/2023,6.37,6.84,6.24,6.46,6.46,6427700
10/18/2023,6.29,6.33,5.81,5.97,5.97,5524000
10/19/2023,5.97,6.1,5.61,5.69,5.69,3688100
10/20/2023,5.57,5.66,5.25,5.38,5.38,4730800
10/23/2023,5.29,5.31,4.65,4.8,4.8,6504200
10/24/2023,4.82,4.93,4.64,4.93,4.93,3203300
10/25/2023,4.91,5.44,4.59,5.21,5.21,6229200
10/26/2023,5.2,5.64,4.95,5.51,5.51,3843900
10/27/2023,5.55,5.83,5.24,5.32,5.32,1865200
10/30/2023,5.37,5.49,5.2,5.33,5.33,1384600
10/31/2023,5.28,5.55,5.242,5.43,5.43,1351300
11/1/2023,5.32,5.45,5.005,5.33,5.33,2820400
11/2/2023,5.47,5.67,5.315,5.6,5.6,2384400
11/3/2023,5.7,5.97,5.61,5.94,5.94,2971800
11/6/2023,6.17,6.26,5.64,6.135,6.135,3407000
11/7/2023,6.07,6.31,5.78,6.16,6.16,2031300
11/8/2023,6.25,7.28,6.14,7.25,7.25,6562200
11/9/2023,7.33,7.34,6.26,6.49,6.49,4848200
11/10/2023,6.37,6.62,5.77,6.07,6.07,3540900
11/13/2023,6.07,6.07,5.75,5.9,5.9,2387200
11/14/2023,6.11,6.225,5.89,6.19,6.19,2452100
11/15/2023,6.2,6.36,5.98,6.17,6.17,2580700
11/16/2023,6.06,6.11,5.61,5.75,5.75,2813700
11/17/2023,5.69,5.708,5.3,5.41,5.41,3298600
11/20/2023,5.48,5.5,5.33,5.36,5.36,2653900
11/21/2023,5.71,6.34,5.54,5.99,5.99,8105500
11/22/2023,6.5,6.58,6.14,6.18,6.18,7008700
11/24/2023,6.18,6.73,6.18,6.56,6.56,4513300
11/27/2023,6.46,6.87,6.1,6.63,6.63,5164100
11/28/2023,6.65,7.135,6.551,6.99,6.99,5054400
11/29/2023,7.13,7.58,6.91,7.56,7.56,6546500
11/30/2023,8.68,9.3,8.27,8.45,8.45,19404500
12/1/2023,8.15,8.2,7.59,7.84,7.84,5510500
12/4/2023,7.91,7.92,6.96,7.06,7.06,6376900
12/5/2023,7,7.279,6.78,6.85,6.85,3814800
12/6/2023,6.94,7.375,6.87,7,7,3925900
12/7/2023,6.97,7.01,6.75,6.82,6.82,2863700
12/8/2023,6.8,6.955,6.68,6.85,6.85,2667000
12/11/2023,7.09,7.1,6.6,6.72,6.72,2887600
12/12/2023,6.72,6.72,6.37,6.5,6.5,2522000
12/13/2023,6.4,6.85,6.4,6.79,6.79,2426400
12/14/2023,6.98,6.98,6.7,6.94,6.94,3231700
12/15/2023,7.04,7.98,6.803,7.88,7.88,6185100
